study_id,table_index,row_index_in_table,author,year,country,theme,subtheme,objective,data,methodology,results_recommendations,cluster_id,taille_cluster,label_cluster,mots_cles_cluster
11,1,14,"Kazima et al., (2022)",2022,Malawi,"Contextes spécifiques : conflits, mines, multilinguisme",Politiques éducatives et réformes,"Examiner les réformes et interventions mises en place pour améliorer l'enseignement des mathématiques dans les écoles primaires au Malawi, en analysant les succès et les défis rencontrés.",SACMEQ II,Analyse comparative,"Résultats Les résultats des évaluations nationales et internationales montrent que les élèves du Malawi obtiennent régulièrement de faibles scores en mathématiques. Les réformes curriculaires et les interventions, telles que le programme Numeracy Boost et le projet Unlocking Talent, ont eu des succès variés, mais des défis persistent, notamment en ce qui concerne l'implémentation de l'enseignement centré sur l'apprenant. Recommandations Renforcement de la formation des enseignants : Il est essentiel d'améliorer les compétences des enseignants en mathématiques et de les soutenir dans l'application de méthodes d'enseignement centrées sur l'apprenant.",10,2,Politiques éducatives et réformes,"mathematiques, enseignement, reformes, enseignants, ameliorer, malawi"
12,1,15,Hanchane et Kadio (2022),2022,Senegal et Cote d’Ivoire,"Contextes spécifiques : conflits, mines, multilinguisme",Politiques éducatives et réformes,"Analyser la contribution de l'Approche par les Compétences (APC) à la qualité des apprentissages dans les systèmes éducatifs ouest-africains, en se concentrant sur les expériences de la Côte d'Ivoire et du Sénégal.",PASEC 2014,Approche hiérarchique linéaire (HLM),"Résultats Les résultats révèlent des disparités significatives dans les performances des élèves, attribuées à des facteurs socio-économiques et à la qualité des ressources pédagogiques. L'APC a montré un impact négatif sur l'acquisition des compétences cognitives, suggérant que sa mise en œuvre nécessite une réflexion approfondie. La variance des performances des élèves est plus importante en Côte d'Ivoire, tandis qu'au Sénégal, elle est liée aux caractéristiques individuelles des élèves. Recommandations Revoir les modalités d'adoption et de mise en œuvre de l'APC pour mieux répondre aux besoins locaux. Accroître l'allocation de ressources dans les établissements, en particulier dans les zones rurales. Mettre en place des évaluations régulières pour mesurer l'impact de l'APC sur les résultats d'apprentissage et ajuster les stratégies en conséquence.",6,3,Politiques éducatives et réformes,"apc, competences, politiques, ressources, contextes, specifiques"
13,1,16,Valente (2019),2019,Tanzanie,"Contextes spécifiques : conflits, mines, multilinguisme",Politiques éducatives et réformes,Estimer l'effet de la croissance des inscriptions suite à la suppression des frais de scolarité dans le primaire en Tanzanie.,SACMEQ 2 et 3,Difference-in-differences,"Résultats Il n’y a pas eu une baisse substantielle des résultats des tests dans l'ensemble. Les résultats sont robustes à l'instrumentation de la croissance des inscriptions à l'aide de décisions prédéterminées en matière de fécondité et de migration, ainsi qu'à un certain nombre de vérifications, y compris l'utilisation de données de référence sur les taux d'inscription. Les estimations de l'effet de la croissance des inscriptions sur les scores des élèves aux tests sont de faible magnitude et statistiquement insignifiantes. Cependant, les pertes de qualité peuvent être concentrées dans des environnements spécifiques - ici, les écoles urbaines performantes. Recommandations Renforcer la formation continue des enseignants. Mettre en place des mécanismes d'accompagnement pour faire face à la croissance rapide des inscriptions, tels que la construction de nouvelles écoles, l'allocation de ressources supplémentaires et une gestion efficace. Promouvoir la recherche sur les effets hétérogènes entre les zones urbaines et rurales, ainsi que les variations au sein des écoles. Renforcer les mécanismes de suivi et d'évaluation pour mesurer régulièrement les progrès des élèves, identifier les problèmes potentiels et ajuster les politiques et les interventions en conséquence.",15,1,Politiques éducatives et réformes,"croissance, inscriptions, specifiques, politiques, tests, urbaines"
14,1,17,Atuhurra (2016),2016,Kenya,"Contextes spécifiques : conflits, mines, multilinguisme",Politiques éducatives et réformes,"Mesurer et expliquer les résultats de l'apprentissage de la lecture et des mathématiques en sixième année au Kenya, en comparant les compétences entre les écoles publiques et privées avant et après l'introduction de la gratuité de l'enseignement primaire.","SACMEQ 1, 2 et 3",Difference in Differences Et Modèle de probabilité linéaire,"Résultats Les résultats montrent d'importantes baisses de résultats et des inégalités scolaires fondées sur le sexe et la situation socio-économique. Les baisses sont associées aux faibles efforts des enseignants et au désengagement de la communauté. L’analyse révèle que pour parvenir au développement cognitif par le biais l'enseignement primaire universel dans certains pays d'Afrique subsaharienne nécessitera l'implication active de toutes les parties prenantes. Recommandations L’importance de l'implication de toutes les parties prenantes, l'amélioration de la qualité de l'éducation, la focalisation sur l'acquisition de compétences et l'utilisation de bases factuelles pour guider les décisions politiques visant à améliorer l'éducation dans les écoles primaires en Afrique subsaharienne.",6,3,Politiques éducatives et réformes,"apc, competences, politiques, ressources, contextes, specifiques"
15,1,18,Taylor et Spaull (2015),2015,"ASS, 10 pays","Contextes spécifiques : conflits, mines, multilinguisme",Politiques éducatives et réformes,Examine dans quelle mesure l'augmentation de l'accès à l'enseignement primaire dans dix pays d'Afrique australe et orientale entre 2000 et 2007 s'est également accompagnée d'un accès accru à l'apprentissage réel.,SACMEQ 2 et 3,Analyses statistiques,"Résultats Les résultats montrent que l'accès à l'enseignement primaire en Afrique australe et orientale depuis 2000 s'est accompagnée d'une amélioration de l'accès à la lecture, à l'écriture et au calcul dans ces pays. Les filles et les enfants des ménages pauvres ont le plus bénéficié de cette amélioration de l'accès à l'apprentissage. L'amélioration de L'accès à l'apprentissage au niveau de la 6e année s'est également accompagnée d'une augmentation des résultats aux niveaux supérieurs.",13,1,Politiques éducatives et réformes,"acces, accompagnee, apprentissage, amelioration, augmentation, enseignement"
16,1,19,Kazima (2014),2014,"Botswana, Malawi et Zambie","Contextes spécifiques : conflits, mines, multilinguisme",Politiques éducatives et réformes,Analyser l'éducation de base universelle (UBE) en relation avec l'enseignement des mathématiques dans trois pays d'Afrique australe en utilisant les données des évaluations SACMEQ.,SACMEQ II,Analyse comparative,"Résultats Les élèves du Botswana, qui bénéficient d'une meilleure qualité d'éducation primaire, obtiennent des résultats supérieurs en mathématiques par rapport à ceux du Malawi et de la Zambie. La provision de professeurs de mathématiques qualifiés est essentielle pour améliorer l'enseignement, surtout dans des classes surchargées et avec des ressources limitées. Recommandations Renforcement de la formation des enseignants : Il est crucial de former des enseignants qualifiés en mathématiques pour garantir une éducation de qualité dans le cadre de l'éducation de base universelle.",10,2,Politiques éducatives et réformes,"mathematiques, enseignement, reformes, enseignants, ameliorer, malawi"
17,1,21,Mioko et Cappelle (2015),2015,"ASS, 11 pays","Contextes spécifiques : conflits, mines, multilinguisme",Mesure de la qualité de l’éducation et analyse comparative,"Établir un lien entre la recherche et les politiques visant à améliorer la qualité de l'éducation, en argumentant une conceptualisation et une méthodologie solides pour mesurer la qualité de l'éducation.",SACMEQ II PASEC,Analyse statistique,"Résultats La qualité de l'éducation est reconnue comme un facteur important dans la plupart des plans nationaux du secteur de l'éducation (PNSE), mais qu'elle n'a pas été définie, mesurée ou interprétée de manière cohérente. Les processus visant à relier les résultats de la recherche à la politique semblent encore à un stade de développement. Recommandations Les décideurs politiques, et les partenaires du développement, doivent veiller à ce que les politiques et la planification s'appuient plus fermement sur des preuves scientifiques objectivement.",0,6,Mesure de la qualité de l’éducation et analyse comparative,"comparative, contextes, specifiques, conflits, mines, multilinguisme"
18,1,22,Spaull et Taylor (2015),2015,"ASS, 11 pays","Contextes spécifiques : conflits, mines, multilinguisme",Mesure de la qualité de l’éducation et analyse comparative,Créer une statistique composite de la quantité et de la qualité de l'éducation en combinant les données des ménages (Enquête démographique et de santé) sur la réussite des études et les données d'enquête (Consortium pour le suivi de la qualité de l'éducation en Afrique australe et orientale) sur les résultats cognitifs pour 11 pays africains,SACMEQ II,Analyse temporelle,"Résultats Les résultats montrent que les déficits d'apprentissage sont considérablement plus importants que les déficits d'accès dans les 11 pays étudiés et que l'achèvement tardif (ou différé) de la 6ème année est répandu en Afrique subsaharienne. Des écarts de richesse importants (supérieurs à 30 points de pourcentage) existent dans tous les pays, sauf le Zimbabwe, le Kenya et le Swaziland, et des écarts de genre favorisant les garçons d'environ 10 points de pourcentage ont été constatés au Malawi, en Tanzanie et en Zambie, atteignant 15 points de pourcentage au Mozambique. Le Lesotho montre une tendance atypiquement favorable aux filles à la fois en termes d'accès à la littératie et à l'accès à la numératie, principalement due au taux inférieur de réussite de la 6ème année des garçons, en particulier des garçons pauvres. Recommandations Nous encourageons d'autres chercheurs à appliquer cette méthode en utilisant différentes données sur les résultats d'apprentissage.",0,6,Mesure de la qualité de l’éducation et analyse comparative,"comparative, contextes, specifiques, conflits, mines, multilinguisme"
19,1,23,Murimba (2005),2005,"ASS, 15 pays","Contextes spécifiques : conflits, mines, multilinguisme",Mesure de la qualité de l’éducation et analyse comparative,Examiner l'impact du SACMEQ sur les systèmes éducatifs en Afrique orientale et australe.,SACMEQ I et SACMEQ II,Analyse statistique,"Résultats La mise en œuvre réussie du SACMEQ a conduit à l'intensification des efforts pour former les agents à différents niveaux du système éducatif à la méthodologie de recherche, en mettant l'accent sur l'échantillonnage, la conception d'instruments de recherche, la collecte et la gestion des données. Cela a eu pour effet général d'améliorer la capacité du ministère à mener à bien ses principales activités d'élaboration de politiques. les pays où cet impact a été le plus spectaculaire sont le Botswana, le Lesotho, les Seychelles et le Malawi.",0,6,Mesure de la qualité de l’éducation et analyse comparative,"comparative, contextes, specifiques, conflits, mines, multilinguisme"
20,1,24,Dolata (2008),2008,"ASS, 15 pays","Contextes spécifiques : conflits, mines, multilinguisme",Mesure de la qualité de l’éducation et analyse comparative,Construire un indice du statut socioéconomique du milieu familial des élèves du SACMEQ avec le modèle de Rasch.,SACMEQ I SACMEQ II,Modèle de Rasch,"Résultats Il existe une corrélation positive entre le SSE des élèves et leurs performances en lecture et en calcul a été trouvée pour la plupart des pays. Recommandations Retravailler les modalités de réponse de l’item sur le nombre de livres disponibles en fractionnant la catégorie «1-10 livres» en de plus petites catégories telles que «1-5 livres» et «6-10» livres. 2. Recouper les données sur le niveau d’éducation des parents et le nombre d’animaux domestiques avec une autre source d’information, par exemple à l’aide d’un questionnaire des parents, il serait possible de recueillir des données plus précises. Rajouter des ressources et équipements modernes tels que les toilettes et les téléphones portables.",0,6,Mesure de la qualité de l’éducation et analyse comparative,"comparative, contextes, specifiques, conflits, mines, multilinguisme"
21,1,25,Sandefur (2017),2017,"ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Mesure de la qualité de l’éducation et analyse comparative,"Cet article exploite un chevauchement entre le test régional pour l'Afrique australe et orientale, SACMEQ, et le test TIMSS afin d'évaluer la faisabilité de la construction d'indicateurs d'apprentissage globaux en mettant sur un pied d'égalité les évaluations régionales et les évaluations de l'éducation des adultes.",SACMEQ 2 et TIMSS,equipercentile equating,"Résultats Les résultats montrent que les classements précis par pays ne sont pas fiables. Cependant, quelle que soit la méthode utilisée, les niveaux d'apprentissages dans cet échantillon de pays africains sont systématiquement (a) faibles en termes absolus, d'un écart-type et demi ou plus par rapport aux élèves de l'OCDE d'un âge similaire ; (b) nettement inférieurs à ce que prévoient les niveaux de PIB par habitant de l'Afrique ; et (c) convergeant lentement, voire pas du tout, vers le reste du monde au cours des années 2000. Recommandations Les recherches futures devraient viser à combler les lacunes dans la conception des tests, en mettant au point des instruments qui incluent plus d'informations sur les élèves. Les décideurs politiques pourraient alors être fondés à accorder une confiance beaucoup plus grande aux mesures de l'apprentissage global.",0,6,Mesure de la qualité de l’éducation et analyse comparative,"comparative, contextes, specifiques, conflits, mines, multilinguisme"
22,1,26,Dieng et Sy (2020),2020,ASS 6 pays,"Contextes spécifiques : conflits, mines, multilinguisme",Mesure de la qualité de l’éducation et analyse comparative,Faire une analyse comparative des déterminants des acquisitions scolaires des élèves du CM1 de six pays de l’Afrique l’ouest francophone.,PASEC 2004 et 2009,Modèle hiérarchique linéaire à deux niveaux,"Résultats Les performances de l’éducation sont expliquées en majorité par la variabilité interindividuelle (52%). Les résultats cachent des disparités entre les pays. Si la variabilité intergroupe reste l’explication dominante des performances de l’éducation au Benin, en Guinée et en Mauritanie, ces performances sont imputables par la variabilité intragroupe pour le Burkina-Faso, la Cote d’Ivoire et le Sénégal. Le sexe, l’âge et le nombre de redoublement de l’élève, pénalisent les acquis scolaires, tandis que l’équipement pédagogique dont disposent l’élève, de l’alphabétisation des parents ainsi que les prérequis, l’environnement familial de l’élève concourent à sa réussite. Recommandations Les organisations internationales ainsi que les gouvernements devraient encourager une politique sectorielle adaptée à chaque pays.",0,6,Mesure de la qualité de l’éducation et analyse comparative,"comparative, contextes, specifiques, conflits, mines, multilinguisme"
23,1,27,Mafang et al. (2022),2022,Cameroun,"Contextes spécifiques : conflits, mines, multilinguisme",Mesure de la qualité de l’éducation et analyse comparative,"Comparer la performance académique des élèves dans les sous-systèmes éducatifs francophone et anglophone au niveau primaire au Cameroun, en identifiant les facteurs qui contribuent à ces différences.",PASEC 2014,Décomposition d'Oaxaca-Blinder et fonction de production éducative,"Résultats Les résultats montrent que les élèves du sous-système éducatif francophone obtiennent de meilleures performances que ceux du sous-système anglophone, tant en mathématiques qu'en langue. Facteurs déterminants : Les caractéristiques des élèves, le contexte scolaire et les conditions familiales influencent significativement l'acquisition des compétences académiques. Recommandations Amélioration des conditions scolaires : Il est recommandé de renforcer l'équipement scolaire et d'améliorer les conditions de vie des ménages pour réduire les inégalités entre les élèves des deux sous-systèmes.",17,1,Mesure de la qualité de l’éducation et analyse comparative,"conditions, sous-systemes, francophone, anglophone, facteurs, sous-systeme"
24,1,29,Spaul (2011),2011,Afrique du Sud,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Identifier les facteurs qui ont un effet significatif sur les résultats des élèves en mathématiques et en lecture.,SACMEQ II,Régression,"Résultats L'étude confirme les résultats antérieurs selon lesquels le statut socio-économique de l'école, est important pour comprendre la réussite ou l'échec des élèves. Les autres facteurs qui contribuent de manière significative aux performances des élèves sont la fréquence des devoirs, l'éducation préscolaire et la disponibilité de manuels de lecture. Recommandations Offrir à tous les élèves au moins une année d'enseignement préscolaire Cibler les politiques et les fonds sur la fourniture de manuels de lecture Les politiques pratiques qui encouragent les enseignants à prescrire des devoirs et à permettre aux élèves de les faire, devraient être étudiées et mises en œuvre. Les décideurs politiques devraient identifier les moyens de s'assurer que les écoles les plus pauvres sont mieux gérées.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
25,1,30,Yu et Thomas (2008),2008,"ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"Explorer les effets des écoles sur les performances des élèves en lecture et en mathématiques dans les pays d'Afrique australe et orientale, en utilisant les données de SACMEQ II.",SACMEQ II,modélisation multiniveau,"Résultats Les résultats montrent que les différences dans les performances des élèves sont significativement influencées par des caractéristiques personnelles et contextuelles, comme le statut socio-économique et le soutien familial. Impact des facteurs contextuels : Les facteurs tels que la taille des classes, la disponibilité des ressources et l'engagement des parents ont un effet mesurable sur les résultats des élèves. Recommandations Il est recommandé d'adopter une approche contextualisée qui intègre les perspectives des parties prenantes pour mieux comprendre l'efficacité scolaire dans les pays à faible revenu.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
26,1,31,Bennell (2023),2023,ASS 9 pays,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Examine l'incidence et les modèles de provision de cours particuliers dans neuf pays d'Afrique francophone de l'Ouest et du Centre.,PASEC 2014,Analyse statistique,"Résultats La prévalence des cours particuliers varie considérablement d'un pays à l'autre, allant de 12 % au Tchad à 42 % au Sénégal. Les élèves issus de milieux socio-économiques plus élevés sont plus susceptibles de bénéficier de cours particuliers, renforçant ainsi les inégalités éducatives. Les filles reçoivent généralement plus de tutorat que les garçons dans la plupart des pays, mais les disparités de genre sont minimales. Recommandations Mettre en place des enquêtes régulières pour surveiller l'incidence et les pratiques de tutorat afin d'informer les politiques éducatives. Élaborer des politiques pour encadrer la provision de cours particuliers et éviter les inégalités croissantes. Mener des études plus détaillées sur les impacts des cours particuliers sur les résultats d'apprentissage et sur les profils socio-économiques des élèves.",9,3,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"cours, apprentissage, supplementaires, inegalites, particuliers, incidence"
27,1,32,"Paviot et al., (2008)",2008,"ASS, 6 pays Kenya, Malawi, Maurice, Namibie, Zambie et Zanzibar","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,Apprécier la croissance et l’évolution des cours supplémentaires et leur impact sur les résultats des élèves dans le primaire,SACMEQ I et II,Analyse statistiques,"Résultats Les cours supplémentaires sont un phénomène répandu dans les six systèmes éducatifs, et que le fait de recevoir des cours supplémentaires est positivement associé à la situation socio-économique de l'élève. L'association entre les frais de scolarité et les résultats des élèves est mitigée. Cependant, l'incidence généralisée des cours supplémentaires peut également être considérée comme négative si elle interfère avec l'équité et la qualité du système éducatif et a des conséquences négatives sur le développement social et émotionnel des enfants. Recommandations Pour que les décideurs politiques sachent s'il faut s'attaquer à l'incidence, à la croissance des cours supplémentaires, les modalités étudiées devraient inclure la fréquence et l'intensité des cours supplémentaires.",9,3,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"cours, apprentissage, supplementaires, inegalites, particuliers, incidence"
28,1,33,Hungi et Thuku (2009),2009,Kenya,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"Examiner les facteurs au niveau de l'élève, de la classe et de l'école qui influencent les résultats des élèves au Kenya.",SACMEQ II,Modèle hiérarchique linéaire à deux niveaux,"Résultats L'âge de l'élève, le milieu socio-économique de l'élève et le rapport élèves-enseignant sont des facteurs importants dans la prédiction des résultats des élèves. Les provinces où les variations entre écoles sont les plus importantes sont celles de l'Est et de la vallée du Rift. Une faible équité sociale a été constatée à Nyanza, Nairobi et dans l'Ouest, tandis que de grandes inégalités entre les sexes ont été constatées dans le Nord-Est. Recommandations La collaboration entre les différentes parties prenantes, le développement de politiques ciblées pour réduire l'inéquité, l'amélioration des écoles en difficulté et la minimisation des écarts de performance entre les écoles primaires.",1,19,Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,"apprentissage, inegalites, determinants, lecture, specifiques, facteurs"
