study_id,author,year,theme,results_convergence_score,top_3_similar_results,dominant_result_keywords
7,Frölich et Michaelowa (2011),2011,"Contextes spécifiques : conflits, mines, multilinguisme",6.59,"Kuecken et al., (2013) (10.4%); Sanfo et al., (2024) (4.9%); Taniguchi (2022) (4.5%)","autres, manuels, parents, prennent, achat"
35,Sanfo (2023),2023,"Contextes spécifiques : conflits, mines, multilinguisme",6.57,"Armand et al., (2024) (6.8%); Zhang (2006) (6.7%); Sanfo (2021) (6.2%)","facteurs, tangibles, intangibles, expliquent, inegalite"
36,Mugendawala et Muijs (2020),2020,"Contextes spécifiques : conflits, mines, multilinguisme",6.53,"Sanfo (2021) (7.5%); Foueka et Elomo (2022) (6.2%); Ishii et Ogawa, (2024) (5.9%)","apprentissage, processus, otl, competences, gestion"
58,"Lee et al., (2018)",2018,Principaux résultats et recommandations de politique éducative,6.53,"Miningou (2022) (7.7%); Dickerson et al., (2015) (6.0%); Medu et Rowlands (2022) (5.9%)","enseignes, garcons, filles, mathematiques, lecture"
4,Salah et Saxena (2025),2025,"Contextes spécifiques : conflits, mines, multilinguisme",6.51,Kadio (2022) (6.8%); Hossain et Bertta (2025) (6.7%); Kadio (2025) (6.1%),"conflits, vecus, apprentissage, scolaires, exposition"
56,Servaas van der Berg (2008),2008,Efficience et efficacité des systèmes éducatifs,6.38,Kadio (2022) (6.9%); Kadio (2025) (6.5%); Hossain et Bertta (2025) (5.7%),"socio-economiques, ressources, differences, scolaires, pauvres"
22,Dieng et Sy (2020),2020,"Contextes spécifiques : conflits, mines, multilinguisme",6.37,"Figueiredo et Dieng (2016) (9.9%); Hanchane et Kadio (2022) (4.7%); Ongo et al., (2022) (4.5%)","variabilite, expliquees, majorite, interindividuelle, cachent"
53,Figueiredo et Dieng (2016),2016,Efficience et efficacité des systèmes éducatifs,6.36,"Dieng et Sy (2020) (9.9%); Miningou et al., (2019) (5.2%); Taylor et Spaull (2015) (4.0%)","etablissements, politiques, scolaires, etaient, efficients"
49,Michelowa (2001),2001,"Contextes spécifiques : conflits, mines, multilinguisme",6.27,"Spaul (2011) (8.2%); Kanyongo et Ayieko (2017) (5.5%); Kuecken et al., (2013) (5.1%)","depenses, enseignants, taille, classes, negatif"
44,Nguemkap (2023),2023,"Contextes spécifiques : conflits, mines, multilinguisme",6.21,"Ongo et al., (2022) (7.6%); Miningou (2022) (5.7%); Nguemkap et Dieng (2022) (5.3%)","variables, genre, age, contribuent, inegalites"
34,"Armand et al., (2024)",2024,"Contextes spécifiques : conflits, mines, multilinguisme",6.2,"Sanfo (2023) (6.8%); Fehrler et al., (2009) (6.6%); Taniguchi (2022) (5.3%)","decomposition, enseignement, scolaires, ameliorer, montrent"
73,Zuze et Reddy (2014),2014,Facteurs socio-économiques et inégalités et participation communautaire,6.08,"Dickerson et al., (2015) (6.9%); Lee et al., (2018) (5.8%); Miningou (2022) (5.5%)","filles, garcons, ressources, soient, scolaires"
41,Medu et Rowlands (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",5.92,"Bekkouche et Dupraz (2023) (7.0%); Lee et al., (2018) (5.9%); Kazima et al., (2022) (4.9%)","mathematiques, scolaires, garcons, lorsque, effets"
11,"Kazima et al., (2022)",2022,"Contextes spécifiques : conflits, mines, multilinguisme",5.88,Kazima (2014) (7.5%); Bekkouche et Dupraz (2023) (5.2%); Medu et Rowlands (2022) (4.9%),"mathematiques, enseignement, apprenant, enseignants, evaluations"
62,Sanfo (2020),2020,Principaux résultats et recommandations de politique éducative,5.87,"Sanfo (2021) (7.9%); Conto et al., (2023) (5.7%); Chudgar (2015) (3.9%)","gestion, formation, directeurs, preparation, pedagogique"
69,Chudgar (2015),2015,Principaux résultats et recommandations de politique éducative,5.76,"Lauchande et al., (2017) (6.3%); Valente (2019) (5.5%); Mafang et al. (2022) (5.5%)","enseignants, recrutement, conditions, travail, renforcer"
30,Smith et Barrett (2010),2010,"Contextes spécifiques : conflits, mines, multilinguisme",5.65,"Kanyongo, et al., (2006) (6.2%); Sanfo et al., (2024) (5.5%); Lee et al., (2021) (5.2%)","fait, apprentissage, facteurs, ressources, lecture"
8,Zuze et Leibbrandt (2010),2010,"Contextes spécifiques : conflits, mines, multilinguisme",5.48,Taylor et Spaull (2015) (7.7%); Mafang et al. (2022) (4.4%); Spaull et Taylor (2015) (4.4%),"egalite, enseignement, enseignants, acces, formelle"
13,Valente (2019),2019,"Contextes spécifiques : conflits, mines, multilinguisme",5.47,Sumida et Kawata (2021) (6.0%); Chudgar (2015) (5.5%); Hanchane et Kadio (2022) (4.9%),"croissance, inscriptions, tests, urbaines, renforcer"
9,"Fehrler et al., (2009)",2009,"Contextes spécifiques : conflits, mines, multilinguisme",5.44,"Armand et al., (2024) (6.6%); Taniguchi (2022) (4.9%); Valente (2019) (4.9%)","ressources, enseignants, enseignement, pedagogiques, particulier"
33,Kouakou et Yeo (2025),2025,"Contextes spécifiques : conflits, mines, multilinguisme",5.32,"Ongo et al., (2022) (5.8%); Armstrong (2015) (5.6%); Foueka (2020) (4.5%)","ecarts, organisation, egalement, alphabetisation, classes"
63,Foueka et Elomo (2022),2022,Principaux résultats et recommandations de politique éducative,5.25,"Mugendawala et Muijs (2020) (6.2%); Sumida et Kawata (2021) (5.7%); Fehrler et al., (2009) (3.8%)","formation, enseignants, professionnel, academique, impacte"
51,"Miningou et al., (2019)",2019,Efficience et efficacité des systèmes éducatifs,5.22,Sanfo (2023) (5.4%); Figueiredo et Dieng (2016) (5.2%); Kadio (2025) (5.0%),"efficacite, montrant, apprentissage, efficaces, ameliorer"
18,Spaull et Taylor (2015),2015,"Contextes spécifiques : conflits, mines, multilinguisme",5.2,Taylor et Spaull (2015) (6.9%); Zuze et Leibbrandt (2010) (4.4%); Hungi et Thuku (2009) (4.3%),"acces, points, pourcentage, garcons, deficits"
54,Kouamo (2024),2024,Efficience et efficacité des systèmes éducatifs,5.05,"Ongo et al., (2022) (6.0%); Kanyongo et Brown (2013) (4.8%); Kouakou et Yeo (2025) (4.4%)","lecture, mathematiques, difficultes, visuelles, caracteristiques"
57,Wamala et Seruwagi (2012),2012,Principaux résultats et recommandations de politique éducative,4.98,Armstrong (2015) (6.3%); Mugendawala et Muijs (2020) (4.5%); Miningou (2022) (4.1%),"competence, enseignants, disciplines, academique, forte"
37,Oduol (2006),2006,"Contextes spécifiques : conflits, mines, multilinguisme",4.96,Kanyongo et Brown (2013) (5.0%); Mafang et al. (2022) (4.9%); Spaul (2011) (4.9%),"sexe, enseignants, devoirs, ont, donnees"
42,"Lee et al., (2021)",2021,"Contextes spécifiques : conflits, mines, multilinguisme",4.95,"Lee et al., (2018) (5.4%); Smith et Barrett (2010) (5.2%); Kouamo (2024) (4.2%)","enfants, travail, ans, compromet, quels"
81,Spaull (2013),2013,Facteurs socio-économiques et inégalités et participation communautaire,4.8,Sanfo (2023) (5.7%); Atuhurra (2016) (4.4%); Yu et Thomas (2008) (4.2%),"facteurs, politiques, existe, scolaires, compte"
27,"Paviot et al., (2008)",2008,"Contextes spécifiques : conflits, mines, multilinguisme",4.77,Spaul (2011) (5.3%); Bennell (2023) (4.9%); Smith et Barrett (2010) (4.1%),"cours, supplementaires, incidence, phenomene, repandu"
52,"Avom et al., (2021)",2021,Efficience et efficacité des systèmes éducatifs,4.71,Hossain et Bertta (2025) (5.5%); Salah et Saxena (2025) (4.4%); Zhang (2006) (4.2%),"efficience, ressources, acteurs, technique, moyenne"
66,Bonnet (2009),2009,Principaux résultats et recommandations de politique éducative,4.53,"Smith et Barrett (2010) (4.7%); Mugendawala et Muijs (2020) (4.5%); Dickerson et al., (2015) (4.4%)","apprentissage, facteurs, classe, externes, tels"
82,"Rew et al., (2022)",2022,Facteurs socio-économiques et inégalités et participation communautaire,4.48,Kanyongo et Ayieko (2017) (4.9%); Michelowa (2001) (4.5%); Yu et Thomas (2008) (4.0%),"association, erreur, mesure, contexte, revenu"
79,Foueka (2020),2020,Facteurs socio-économiques et inégalités et participation communautaire,4.43,"Kouakou et Yeo (2025) (4.5%); Kanyongo et Ayieko (2017) (4.4%); Ongo et al., (2022) (4.4%)","caracteristiques, niveau, vie, ont, maths"
71,Kyei (2021),2021,Facteurs socio-économiques et inégalités et participation communautaire,4.41,"Dickerson et al., (2015) (6.6%); Lee et al., (2018) (3.7%); Medu et Rowlands (2022) (3.0%)","filles, desavantage, lecture, pres, moitie"
2,Garrouste (2011),2011,"Contextes spécifiques : conflits, mines, multilinguisme",4.4,Kanyongo et Brown (2013) (4.8%); Medu et Rowlands (2022) (4.3%); Armstrong (2015) (4.1%),"role, linguistiques, mathematiques, ameliorer, confirment"
21,Sandefur (2017),2017,"Contextes spécifiques : conflits, mines, multilinguisme",4.33,Armstrong (2015) (4.9%); Barnett (2013) (4.2%); Venkat et Spaull (2015) (3.9%),"niveaux, montrent, classements, precis, fiables"
19,Murimba (2005),2005,"Contextes spécifiques : conflits, mines, multilinguisme",4.31,Oduol (2006) (4.5%); Hanchane et Kadio (2022) (4.5%); Venkat et Spaull (2015) (4.0%),"recherche, mise, uvre, reussie, sacmeq"
68,Nafiou (2010),2010,Principaux résultats et recommandations de politique éducative,4.3,Michelowa (2001) (4.5%); Venkat et Spaull (2015) (4.3%); Taniguchi (2024) (4.1%),"enseignants, satisfaction, annees, baccalaureat, diplome"
74,Barnett (2013),2013,Facteurs socio-économiques et inégalités et participation communautaire,4.19,"Ishii et Ogawa, (2024) (4.4%); Sandefur (2017) (4.2%); Miningou (2022) (3.9%)","engagement, communautaire, modes, lecture, augmentation"
65,"Bietenbeck et al., (2023)",2023,Principaux résultats et recommandations de politique éducative,4.13,"Dickerson et al., (2015) (4.3%); Kazima (2014) (4.1%); Armstrong (2015) (4.0%)","enseignants, teacher, competences, subject, knowledge"
3,Lee et Rudolf (2022),2022,"Contextes spécifiques : conflits, mines, multilinguisme",3.95,"Lee et al., (2018) (4.9%); Taniguchi (2022) (3.6%); Oduol (2006) (3.3%)","harcelement, ont, signale, sexuel, enseignants"
32,"Mulera et al., (2017)",2017,"Contextes spécifiques : conflits, mines, multilinguisme",3.7,"Atuhurra (2016) (4.0%); Armand et al., (2024) (3.7%); Miningou et al., (2019) (3.5%)","taux, encadrement, districts, niveaux, certains"
17,Mioko et Cappelle (2015),2015,"Contextes spécifiques : conflits, mines, multilinguisme",3.42,Spaul (2011) (3.9%); Michelowa (2001) (3.3%); Salah et Saxena (2025) (3.1%),"developpement, politiques, reconnue, facteur, important"
38,"Lee et al., (2005)",2005,"Contextes spécifiques : conflits, mines, multilinguisme",3.34,Medu et Rowlands (2022) (3.7%); Hungi et Thuku (2009) (3.3%); Taniguchi (2024) (3.1%),"celles, effets, varient, autre, generalement"
31,Crouch et al. (2021),2021,"Contextes spécifiques : conflits, mines, multilinguisme",3.28,"Armstrong (2015) (3.8%); Wamala et Seruwagi (2012) (3.2%); Kadio et al., (2022) (2.9%)","inegalite, etait, relation, ameliorations, moyennes"
20,Dolata (2008),2008,"Contextes spécifiques : conflits, mines, multilinguisme",3.24,"Ishii et Ogawa, (2024) (3.9%); Kadio (2022) (2.9%); Armand et al., (2024) (2.9%)","livres, nombre, donnees, parents, existe"
43,Lassibille et Tan (2003),2003,"Contextes spécifiques : conflits, mines, multilinguisme",3.13,"Nguemkap (2023) (3.9%); Nafiou (2010) (2.8%); Kadio et al., (2022) (2.7%)","publiques, contre, secteur, prive, privees"
